,Eigenvalues,v values
0,0.004004000107904249,0.0
1,0.024165924266386973,0.01007070707070707
2,0.04432959111919477,0.02014141414141414
3,0.06449654084602785,0.03021212121212121
4,0.08466831655813323,0.04028282828282828
5,0.10484646567995837,0.05035353535353535
6,0.1250325413417146,0.06042424242424242
7,0.14522810378642093,0.0704949494949495
8,0.16543472179507202,0.08056565656565656
9,0.18565397413364382,0.09063636363636363
10,0.20588745102579376,0.1007070707070707
11,0.22613675565521763,0.11077777777777778
12,0.2464035057017815,0.12084848484848484
13,0.266689334915742,0.1309191919191919
14,0.28699589473454656,0.140989898989899
15,0.3073248559469277,0.15106060606060606
16,0.3276779104092882,0.16113131313131313
17,0.34805677281962977,0.1712020202020202
18,0.3684631825546132,0.18127272727272725
19,0.3888989055756604,0.19134343434343434
20,0.4093657364104777,0.2014141414141414
21,0.4298655002166887,0.21148484848484847
22,0.45040005493489876,0.22155555555555556
23,0.47097129353891787,0.23162626262626262
24,0.49158114639154404,0.2416969696969697
25,0.5122315837149458,0.25176767676767675
26,0.5329246181853742,0.2618383838383838
27,0.5536623076628304,0.2719090909090909
28,0.574446758067094,0.281979797979798
29,0.5952801264126257,0.29205050505050506
30,0.6161646240158913,0.3021212121212121
31,0.6371025198899034,0.3121919191919192
32,0.6580961443421567,0.32226262626262625
33,0.6791478927936574,0.3323333333333333
34,0.7002602298384111,0.3424040404040404
35,0.7214356935647117,0.35247474747474744
36,0.7426769001616258,0.3625454545454545
37,0.7639865488364912,0.3726161616161616
38,0.7853674270719275,0.3826868686868687
39,0.8068224162538542,0.39275757575757575
40,0.8283544977054125,0.4028282828282828
41,0.8499667591654789,0.4128989898989899
42,0.8716624017548549,0.42296969696969694
43,0.8934447474780318,0.433040404040404
44,0.9153172473140332,0.4431111111111111
45,0.937283489956164,0.4531818181818182
46,0.9593472112676531,0.46325252525252525
47,0.9815123045284566,0.4733232323232323
48,1.0037828315579094,0.4833939393939394
49,1.0261630348086694,0.49346464646464644
50,1.048657350539923,0.5035353535353535
51,1.0712704231921688,0.5136060606060606
52,1.0940071211024727,0.5236767676767676
53,1.1168725537184718,0.5337474747474747
54,1.139872090491758,0.5438181818181818
55,1.163011381657589,0.5538888888888889
56,1.1862963811385483,0.563959595959596
57,1.2097333718458791,0.574030303030303
58,1.2333289936948524,0.5841010101010101
59,1.2570902747009725,0.5941717171717171
60,1.2810246655837325,0.6042424242424242
61,1.3051400783762963,0.6143131313131313
62,1.329444929625209,0.6243838383838384
63,1.3539481888676042,0.6344545454545454
64,1.378659433198329,0.6445252525252525
65,1.4035889088914308,0.6545959595959596
66,1.4287476012261986,0.6646666666666666
67,1.4541473138962862,0.6747373737373737
68,1.4798007596627212,0.6848080808080808
69,1.5057216642628233,0.6948787878787879
70,1.5319248860267087,0.7049494949494949
71,1.5584265542076987,0.715020202020202
72,1.58524422973733,0.725090909090909
73,1.612397093017911,0.7351616161616161
74,1.6399061645305775,0.7452323232323232
75,1.6677945655553028,0.7553030303030303
76,1.696087828297765,0.7653737373737374
77,1.7248142673757512,0.7754444444444444
78,1.7540054281933668,0.7855151515151515
79,1.783696632600745,0.7955858585858585
80,1.8139276489582248,0.8056565656565656
81,1.8447435231382303,0.8157272727272727
82,1.876195620397576,0.8257979797979798
83,1.9083429474647535,0.8358686868686869
84,1.9412538528649725,0.8459393939393939
85,1.975008246806837,0.856010101010101
86,2.0097005489514266,0.866080808080808
87,2.0454436789421537,0.8761515151515151
88,2.0823745794551765,0.8862222222222222
89,2.120662059084513,0.8962929292929293
90,2.1605182703314627,0.9063636363636364
91,2.202216122156787,0.9164343434343434
92,2.246116873031042,0.9265050505050505
93,2.292716288701413,0.9365757575757575
94,2.3427273826359625,0.9466464646464646
95,2.3972429921233513,0.9567171717171716
96,2.4580991252038116,0.9667878787878788
97,2.528863941953273,0.9768585858585859
98,2.6186841435717767,0.9869292929292929
99,2.8020542038536234,0.997
